Suburb,Average Price,Average Landsize,Average BuildingArea
Hampton Park,577600,560.25,151
Hawthorn,1242632.609,478.2722513,129.3442056
Hawthorn East,1431684.612,469.1083333,147.0491803
Healesville,650000,724,156.6
Heatherton,875000,,
Heathmont,940785.7143,569.0625,151.625
Heidelberg,928758.3333,668.627451,132.72
Heidelberg Heights,754110.7143,474.5769231,114.7564103
Heidelberg West,650149.4186,499.6315789,96.44296296
Highett,1188284.091,503.4074074,224.8666667
Hillside,660761.6667,684.2222222,181.1538462
Hoppers Crossing,547324.6154,697.9210526,144.0641667
Hughesdale,1068870,424.5714286,134.6995833
Huntingdale,988600,552.7142857,104.5
Hurstbridge,695000,909.5,225
Ivanhoe,1210379.845,461.1020408,169.1785714
Ivanhoe East,1789588.235,760.36,238.2
Jacana,514514.2857,604.76,106.2905556
Kealba,572312.5,560.9473684,196.7
Keilor,798541.6667,594.5555556,174.8
Keilor Downs,659764.04,702.6666667,171.9966667
Keilor East,824056.051,569.0826446,155.8095238
Keilor Lodge,613333.3333,690,
Keilor Park,669034.4828,487.1363636,143.1333333
Kensington,809272.1192,530.2605042,110.7041667
Kew,1799112.245,479.6610169,187.0690526
Kew East,1658412.162,834.877551,179.5
Keysborough,833833.3333,517.25,179
Kilsyth,771571.4286,888.25,99.25
Kings Park,548000,551,134.225
Kingsbury,710684.2632,507.6923077,122.5714286
Kingsville,847759.5745,235.3529412,111.25
Knoxfield,972833.3333,719.75,221
Kooyong,1563500,310,339
Kurunjang,351583.3333,656.75,137
Lalor,631979.1667,550.372093,170.3333333
Langwarrin,608166.6667,790.3333333,183
Laverton,590000,,116
Lilydale,895000,,
Lower Plenty,821571.4286,549.6,129.3333333
Lynbrook,597500,,
MacLeod,827717.3913,,
Maidstone,706892.8571,586.8617021,115.4985455
Malvern,1903271.739,361.8955224,172.2513514
Malvern East,1483482.231,456.5128205,157.1264789
Maribyrnong,821788.274,1374.739583,146.8570968
McKinnon,1535553.333,461.25,96
Meadow Heights,486583.3333,619.5294118,141.8333333
Melbourne,697000,295.787234,76.39393939
Melton,420718.75,746.1666667,139.53
Melton South,375467.3913,601.8888889,126.75
Melton West,431833.3333,695.25,152.4355556
Mentone,896130.9524,482.6923077,133.99676
Mernda,617454.5455,509,195.5
Mickleham,485000,490,208
Middle Park,2076658.537,209.9411765,139.1904762
Mill Park,642759.6667,560.5116279,150.7827586
Mitcham,973597.7778,511.3,169.48
Monbulk,720000,1611,
